"proposed_claim","evidence_artifact","experiment_condition","statistical_support","caveat","allowed_wording","status"
"Unrelated plausible predicted history degrades ASR quality for both SFT model variants.","experiments/results/predicted_history_analysis.json sha256 47d010e6f7af4b5c6e3bbb8a5159106ae3b1b4742265ce76f0320d0f444e230c; stress plan/receipt sha256 4be1efbed8f897320b2ce73f43e9c90dda2e0feb955782d606850f8f87eaeb94/ad0544275528ad35e5e84990500115beabcc4c2847dca295cb1c821db7975977","Unrelated plausible predicted history minus ordered same-source K=8 predicted history on the 498-row stress primary population","WER increases by +2.92 points [1.05,4.99], Holm 0.011, for history-free SFT and +4.96 [2.74,7.10], Holm 0/10,000, for prior-transcript SFT; CER and keyword-occurrence recall move adversely for both.","The panel is stress-enriched and not prevalence weighted; the untuned-base-model WER interval includes zero; keyword occurrence recall is a reference proxy rather than entity accuracy.","On the enriched counterfactual panel, replacing ordered same-source K=8 predicted history with unrelated plausible predicted history worsened WER for both bundled SFT model variants.","supported"
"Prior-transcript SFT is less sensitive than history-free SFT to unrelated predicted history.","experiments/results/predicted_history_analysis.json sha256 47d010e6f7af4b5c6e3bbb8a5159106ae3b1b4742265ce76f0320d0f444e230c; stress plan/receipt sha256 4be1efbed8f897320b2ce73f43e9c90dda2e0feb955782d606850f8f87eaeb94/ad0544275528ad35e5e84990500115beabcc4c2847dca295cb1c821db7975977","Difference-in-differences for unrelated-minus-correct history across the two SFT model variants on 498 primary rows","The WER interaction is +2.04 points, 95% CI [-0.73,+4.63], Holm-adjusted tail area 0.410; the point direction is greater, not smaller, degradation for prior-transcript SFT.","Historical model-variant training is unmatched, and the interval remains compatible with effects in either direction; no causal context-training interpretation is available.","The stress test does not support lower unrelated-history sensitivity for prior-transcript SFT; the differential response is uncertain.","unsupported"
"Shuffling ordered same-source predicted turns or using stale same-source predicted history has a resolved WER effect.","experiments/results/predicted_history_analysis.json sha256 47d010e6f7af4b5c6e3bbb8a5159106ae3b1b4742265ce76f0320d0f444e230c; stress plan/receipt sha256 4be1efbed8f897320b2ce73f43e9c90dda2e0feb955782d606850f8f87eaeb94/ad0544275528ad35e5e84990500115beabcc4c2847dca295cb1c821db7975977","Shuffled-minus-correct and stale-minus-correct paired contrasts for all three model-variants on 498 primary rows","All six within-variant WER intervals include zero and all Holm-adjusted tail areas are at least 0.366; both registered cross-SFT interactions also include zero.","Failure to resolve an effect on this 498-row enriched panel is not evidence of equivalence or harmlessness; power is limited at the source-cluster level.","The 498-row stress panel did not resolve WER effects from shuffled same-source turns or stale same-source predictions after multiplicity correction.","unsupported"
"At K=8, the prior-transcript-SFT variant has higher keyword occurrence recall than the history-free-SFT variant.","experiments/results/predicted_history_analysis.json sha256 47d010e6f7af4b5c6e3bbb8a5159106ae3b1b4742265ce76f0320d0f444e230c; matrix plan/receipt sha256 363eaee6104387db95987574f0789133ed8f910877a62ca77f6d915c51a96cb1/e2386e01b97f205c6ac4a629aa1b5579e1f2ae4d31eb3d85e4bd1ac9706a7f0f","Descriptive prior-transcript-SFT minus history-free-SFT K=8 contrast on 4,098 primary rows","Keyword occurrence recall is 85.95% versus 81.01%, a +4.94-point gap [3.02,7.11], Holm-adjusted tail area 0/10,000.","This is reference-conditioned keyword occurrence recall, not entity exact match or accuracy. The SFT model variants are historically unmatched, so the gap is descriptive and noncausal.","The bundled prior-transcript-SFT variant had 4.94 points higher keyword occurrence recall at K=8, alongside essentially equal WER and higher automatic lexical-attribution diagnostics.","partially supported"
"Automatic lexical-overlap or candidate-adoption diagnostics establish semantic hallucination.","parent analysis sha256 47d010e6f7af4b5c6e3bbb8a5159106ae3b1b4742265ce76f0320d0f444e230c; extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2","Context-copy n-grams, prior-only tokens, matched excess copy, donor null, insertions, and reference-absent candidate adoption","Both analyses record semantic_hallucination=not_measured and acoustic_support=not_measured; the entity intervention is explicitly a reference-absent prediction lexical diagnostic.","Automatic metrics cannot determine whether fluent content lacks support in the current audio, whether a reference omitted audible content, or whether another turn or speaker was continued.","Automatic context-overlap and candidate-adoption metrics are lexical screening proxies; semantic hallucination was not measured.","unsupported"
"The predicted-history provider census completed without terminal errors or missing admitted predictions.","parent analysis sha256 47d010e6f7af4b5c6e3bbb8a5159106ae3b1b4742265ce76f0320d0f444e230c; extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; extension K=0/entity receipt file sha256 a749489d3c399adbb29d196a4bbaa085f641fa96a562f4f7efbbec148489ca0f/1eb4a42732d6feab8a4512f20dfc5d5a9d0125de4d39653c2c048337534ba3ed","All 18 main/control cells and 12 new stress cells","The authenticated artifacts contain 73,944 main/control and 6,000 stress predictions, totaling 79,944 admitted predictions with zero terminal provider errors and zero missing admitted outputs. The 13,824-request extension also records zero application retries.","Two earlier matrix-wide 900-second no-artifact transport attempts remain outside the registered scientific census under the frozen recovery rule and were conservatively costed; they contributed no prediction or metric.","All 79,944 registered predicted-history requests yielded admitted predictions with no terminal error or missing output; two earlier timeout orphans were excluded and conservatively costed.","supported"
"The predicted-history development study identifies a causal learned-contract effect of prior-transcript SFT.","parent analysis sha256 47d010e6f7af4b5c6e3bbb8a5159106ae3b1b4742265ce76f0320d0f444e230c; extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; K=0 plan/receipt file sha256 ac01ea64ec4faa6dfe26f95ed280197227f328fb38868d6a54c33c3700c4c894/a749489d3c399adbb29d196a4bbaa085f641fa96a562f4f7efbbec148489ca0f","K=0-to-K=8 tuned-variant interaction and same-condition K=8 variant gap on 4,098 development rows","The K=0-to-K=8 WER interaction is +0.0915 points [-0.6490,+0.8468], and the K=8 prior-minus-history-free WER gap is +0.0211 [-0.6264,+0.6955]. No repeated SFT runs or matched training-corpus intervention exists.","Training corpora, labels, prompt exposure, and checkpoint selection differ. Serving rows are paired, but training assignment is not controlled; each model variant generates endogenous history; development data informed checkpoint selection.","The experiment characterizes two historical model-variant bundles under a matched audio/reference frame and fixed history interface; it does not identify a causal effect of prior-transcript fine-tuning.","unsupported"
"K=0 is a fixed-interface structural zero-history control for the prediction-history window curve.","extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; K=0 plan file sha256 ac01ea64ec4faa6dfe26f95ed280197227f328fb38868d6a54c33c3700c4c894 with registered plan sha256 274d52997246d46314a8a1c3caef182e0b811b677a2093c32c8ab6540657b917; receipt file sha256 a749489d3c399adbb29d196a4bbaa085f641fa96a562f4f7efbbec148489ca0f","Three K=0 model-variant cells on all 4,108 rows; exact fixed history-interface prompt and vapo_p3_transcript wrapper; zero prior turns; current audio only","All 12,324 requests succeeded. The request-set/rendered-request-set hashes are 26bccf5cffc12049d1595be70c3269447432e8c2492789cac552296f8bcfa51d/63552c4827507bbf2132653dc0288d59f721e1002592b4b05df53785c4ae3a70, and every observed response-version-set hash matches its parent model variant.","This is a post-outcome development extension. Exact interface matching identifies K=0-to-K>0 serving-policy effects, not a causal training effect; no-history-interface prompt control remains a detached prompt control.","K=0 is the fixed-interface no-history control for fixed interface at K=1/K=2/K=4/K=8; no-history-interface prompt control is not on that curve.","supported"
"One predicted turn improves WER over K=0 for the history-free-SFT variant.","extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; K=0 plan/receipt file sha256 ac01ea64ec4faa6dfe26f95ed280197227f328fb38868d6a54c33c3700c4c894/a749489d3c399adbb29d196a4bbaa085f641fa96a562f4f7efbbec148489ca0f","History-free-SFT K=1 minus fixed-interface K=0 on 4,098 normalized-nonempty development rows","WER changes -0.5066 points, 95% CI [-1.0065,+0.0167], Holm-adjusted bootstrap tail fraction 0.0592 in the four-member K=0-to-window WER family.","The interval includes zero and the registered multiplicity-adjusted tail fraction exceeds 0.05. This is an end-to-end rolling-policy contrast on development data.","For history-free SFT, K=1 has a 0.51-point lower WER point estimate than K=0, but the registered uncertainty does not resolve a first-turn benefit.","unsupported"
"Eight predicted turns improve WER over K=0 for the history-free-SFT variant.","extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; K=0 plan/receipt file sha256 ac01ea64ec4faa6dfe26f95ed280197227f328fb38868d6a54c33c3700c4c894/a749489d3c399adbb29d196a4bbaa085f641fa96a562f4f7efbbec148489ca0f","History-free-SFT K=8 minus fixed-interface K=0 on 4,098 normalized-nonempty development rows","WER changes -1.8541 points, 95% CI [-2.4193,-1.2546], a -7.7752% relative change; Holm-adjusted bootstrap tail fraction is 0 in the four-member K=0-to-window WER family.","Each window is an independently rolled endogenous trajectory; the estimate is a total serving-policy effect on development data, not a fixed-text direct effect or a training effect.","Under fixed-interface serving, the history-free-SFT K=8 rolling policy lowers development WER by 1.85 points relative to K=0.","supported"
"One predicted turn improves WER over K=0 for the prior-transcript-SFT variant.","extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; K=0 plan/receipt file sha256 ac01ea64ec4faa6dfe26f95ed280197227f328fb38868d6a54c33c3700c4c894/a749489d3c399adbb29d196a4bbaa085f641fa96a562f4f7efbbec148489ca0f","Prior-transcript-SFT K=1 minus fixed-interface K=0 on 4,098 normalized-nonempty development rows","WER changes -0.7775 points, 95% CI [-1.2680,-0.2824], a -3.2702% relative change; Holm-adjusted bootstrap tail fraction is 0.0014 in the four-member K=0-to-window WER family.","This is an end-to-end rolling-policy contrast on development data. Historical training is unmatched and does not identify a causal SFT effect.","Under fixed-interface serving, the prior-transcript-SFT K=1 rolling policy lowers development WER by 0.78 points relative to K=0.","supported"
"Eight predicted turns improve WER over K=0 for the prior-transcript-SFT variant.","extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; K=0 plan/receipt file sha256 ac01ea64ec4faa6dfe26f95ed280197227f328fb38868d6a54c33c3700c4c894/a749489d3c399adbb29d196a4bbaa085f641fa96a562f4f7efbbec148489ca0f","Prior-transcript-SFT K=8 minus fixed-interface K=0 on 4,098 normalized-nonempty development rows","WER changes -1.7627 points, 95% CI [-2.4636,-1.0482], a -7.4134% relative change; Holm-adjusted bootstrap tail fraction is 0 in the four-member K=0-to-window WER family.","Each window is an independently rolled endogenous trajectory; the estimate is a total serving-policy effect on development data, not a fixed-text direct effect or a causal training effect.","Under fixed-interface serving, the prior-transcript-SFT K=8 rolling policy lowers development WER by 1.76 points relative to K=0.","supported"
"Fixed-interface K=0 and no-history-interface prompt control are equivalent zero-history prompts.","extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; K=0 plan/receipt file sha256 ac01ea64ec4faa6dfe26f95ed280197227f328fb38868d6a54c33c3700c4c894/a749489d3c399adbb29d196a4bbaa085f641fa96a562f4f7efbbec148489ca0f; parent analysis sha256 47d010e6f7af4b5c6e3bbb8a5159106ae3b1b4742265ce76f0320d0f444e230c","Paired K=0 minus no-history-interface prompt control prompt/interface contrasts on 4,098 rows for the untuned base model, history-free SFT, and prior-transcript SFT","WER gaps are +0.0211 [-0.4353,+0.4978], +0.0633 [-0.3756,+0.4824], and -0.2181 [-0.7632,+0.2831] points. No Holm adjustment was registered for these prompt contrasts.","Small unresolved gaps do not establish equivalence. K=0 and no-history-interface prompt control use different prompts/interfaces, and only K=0 belongs on the fixed history interface history curve.","K=0-minus-no-history-interface prompt control WER point gaps are small and uncertain for all model variants; treat no-history-interface prompt control as a detached interface control, not an equivalent fixed history interface zero.","unsupported"
"Prior-transcript SFT obtains a larger K=0-to-K=8 WER benefit than history-free SFT.","extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; K=0 plan/receipt file sha256 ac01ea64ec4faa6dfe26f95ed280197227f328fb38868d6a54c33c3700c4c894/a749489d3c399adbb29d196a4bbaa085f641fa96a562f4f7efbbec148489ca0f","Descriptive prior-transcript-minus-history-free interaction for K=8-minus-K=0 on 4,098 rows","The WER interaction is +0.0915 points, 95% CI [-0.6490,+0.8468], with no registered Holm value; the point direction is a slightly smaller, not larger, prior-transcript-SFT reduction.","The two model variants are historically unmatched and consume endogenous variant-specific histories; even a resolved interaction would describe bundled systems rather than identify a causal SFT effect.","The K=0-to-K=8 WER gains differ by only +0.09 points in prior-minus-history-free change units, with an interval spanning both directions; no differential WER benefit is detected.","unsupported"
"The prior-transcript-SFT variant has a larger lexical-overlap response from K=0 to K=8 than the history-free-SFT variant.","extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; K=0 plan/receipt file sha256 ac01ea64ec4faa6dfe26f95ed280197227f328fb38868d6a54c33c3700c4c894/a749489d3c399adbb29d196a4bbaa085f641fa96a562f4f7efbbec148489ca0f","Descriptive prior-transcript-minus-history-free interaction for K=8-minus-K=0 on 4,098 development rows; K=0 overlap metrics are construction zeros","The interaction is +1.4376 context-copy points [0.6605,2.2456], +1.1145 prior-only-token points [0.6402,1.6096], and +1.4678 matched-excess-copy points [0.6877,2.2856]. No Holm value was registered for these model-variant interactions.","The model variants are historically unmatched and use different endogenous histories. These are reference-conditioned lexical proxies, not acoustic-support or semantic-hallucination measures.","Descriptively, the prior-transcript-SFT variant shows a larger K=0-to-K=8 increase in automatic lexical-overlap proxies; this is noncausal and nonsemantic.","supported"
"The reference-absent prediction intervention produces a multiplicity-adjusted increase in candidate adoption.","extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; entity plan file sha256 b06618c81e77e603fe6e98471a50639cc5bc15bd8e8c7af082ce0ad550b3a10b with registered plan sha256 ddfe32bc98f63a38c7fa48ba8b4b0afaaf35de7f39c6619b7ee37404e02609c6; receipt file sha256 1eb4a42732d6feab8a4512f20dfc5d5a9d0125de4d39653c2c048337534ba3ed","Intervention minus ordered same-source K=8 predicted history on the fixed 500-row intent-to-treat adoption population","Candidate adoption changes +0.80 points [0.00,2.1506], Holm 0.454, for base; +0.40 [0.00,1.3667], Holm 0.471, for history-free SFT; and +1.80 [0.2028,3.8961], Holm 0.111, for prior-transcript SFT. Counts are 4/500, 2/500, and 9/500 versus zero in controls.","No within-variant contrast survives the registered three-variant Holm correction. Candidate absence is reference-based, not audio-adjudicated; blank/error/unintelligible outputs count as non-adoption.","Observed adoption point estimates are 0.80%, 0.40%, and 1.80%, but the registered multiplicity analysis does not resolve an adoption effect for any model variant.","unsupported"
"The reference-absent prediction intervention changes WER for at least one model variant.","extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; entity plan/receipt file sha256 b06618c81e77e603fe6e98471a50639cc5bc15bd8e8c7af082ce0ad550b3a10b/1eb4a42732d6feab8a4512f20dfc5d5a9d0125de4d39653c2c048337534ba3ed","Intervention minus ordered same-source K=8 predicted history on 498 normalized-nonempty quality rows","WER changes +0.0000 points [-1.9473,+1.8931], Holm 1.0, for base; +0.3566 [-1.1152,+1.7828], Holm 1.0, for history-free SFT; and +0.5186 [-1.5997,+2.1581], Holm 1.0, for prior-transcript SFT.","All intervals include zero. Failure to resolve a WER effect on this enriched 498-row panel is not evidence of equivalence or harmlessness.","The reference-absent lexical stress test did not resolve a WER change for the untuned base model, history-free SFT, or prior-transcript SFT.","unsupported"
"The completed K=0 and reference-absent lexical extensions have full provider coverage and bounded estimated cost.","extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; K=0 plan/receipt file sha256 ac01ea64ec4faa6dfe26f95ed280197227f328fb38868d6a54c33c3700c4c894/a749489d3c399adbb29d196a4bbaa085f641fa96a562f4f7efbbec148489ca0f; entity plan/receipt file sha256 b06618c81e77e603fe6e98471a50639cc5bc15bd8e8c7af082ce0ad550b3a10b/1eb4a42732d6feab8a4512f20dfc5d5a9d0125de4d39653c2c048337534ba3ed","Three 4,108-row K=0 cells and three 500-row lexical-intervention cells","All 13,824 requests succeeded with zero terminal errors, zero missing predictions, and zero application retries. Frozen planning proxy is USD 4.450524962; telemetry-derived estimate is USD 7.3172207361.","Neither cost is billing-export reconciliation. The telemetry estimate uses an approximate audio/text token split and excludes credits, taxes, storage, retrieval, egress, and rounding.","The two extensions completed all 13,824 requests; estimated cost is USD 4.45 by the planning proxy or USD 7.32 from telemetry, not a verified bill.","supported"
"Reference-absent candidate adoption proves the adopted text is acoustically unsupported.","extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; entity plan/receipt file sha256 b06618c81e77e603fe6e98471a50639cc5bc15bd8e8c7af082ce0ad550b3a10b/1eb4a42732d6feab8a4512f20dfc5d5a9d0125de4d39653c2c048337534ba3ed","Prediction-derived candidate selected to be absent from the current reference; 500-row adoption ITT population","The analysis records acoustic_support=not_measured; no listening adjudication exists. Reference absence does not rule out label omission or an audible candidate.","Candidate adoption is a literal lexical outcome only. It cannot establish unsupported audio content, semantic hallucination, out-of-span continuation, or a target-boundary violation.","The stress test measures adoption of reference-absent prediction text; acoustic support remains unmeasured.","unsupported"
"Candidate adoption or keyword occurrence recall is entity accuracy.","extension analysis sha256 fb8fede35b125dabf66659289c8c4f77562122e31a2a5a25f68dbf9d852b5aa2; entity plan/receipt file sha256 b06618c81e77e603fe6e98471a50639cc5bc15bd8e8c7af082ce0ad550b3a10b/1eb4a42732d6feab8a4512f20dfc5d5a9d0125de4d39653c2c048337534ba3ed","Automatic literal candidate adoption and occurrence-weighted keyword recall on the development stress panel","No reviewed unit-ID, location, or operational-code entity labels or exact-match scorer exist; keyword occurrence recall does not penalize false positives, and candidate adoption intentionally measures uptake rather than correctness.","The automatic metrics do not provide entity precision, recall, exact match, or accuracy and cannot be labeled as entity recognition performance.","Candidate adoption and keyword occurrence recall are lexical diagnostics, not entity accuracy.","unsupported"
